epoch,loss,output_1_dice_metric,output_1_loss,output_2_dice_metric,output_2_loss,output_3_dice_metric,output_3_loss,output_4_dice_metric,output_4_loss,val_loss,val_output_1_dice_metric,val_output_1_loss,val_output_2_dice_metric,val_output_2_loss,val_output_3_dice_metric,val_output_3_loss,val_output_4_dice_metric,val_output_4_loss
0,0.8463737368583679,3.053284361453912e-11,0.8463237285614014,3.053284361453912e-11,0.8463237285614014,3.053284361453912e-11,0.8463237285614014,3.053284361453912e-11,0.8463237285614014,0.8458242416381836,3.056342331997364e-11,0.8458242416381836,3.056342331997364e-11,0.8458242416381836,3.056342331997364e-11,0.8458242416381836,3.056342331997364e-11,0.8458242416381836
1,0.845624566078186,3.057873745881956e-11,0.845574676990509,3.057873745881956e-11,0.845574676990509,3.057873745881956e-11,0.845574676990509,3.057873745881956e-11,0.845574676990509,0.8450760841369629,3.0609396961533974e-11,0.8450760841369629,3.0609396961533974e-11,0.8450760841369629,3.0609396961533974e-11,0.8450760841369629,3.0609396961533974e-11,0.8450760841369629
2,0.844876766204834,3.062475273374332e-11,0.8448269367218018,3.062475273374332e-11,0.8448269367218018,3.062475273374332e-11,0.8448269367218018,3.062475273374332e-11,0.8448269367218018,0.8443291187286377,3.065550938097239e-11,0.8443291187286377,3.065550938097239e-11,0.8443291187286377,3.065550938097239e-11,0.8443291187286377,3.065550938097239e-11,0.8443291187286377
3,0.8441301584243774,3.067091025599211e-11,0.8440804481506348,3.067091025599211e-11,0.8440804481506348,3.067091025599211e-11,0.8440804481506348,3.067091025599211e-11,0.8440804481506348,0.843583345413208,3.0701743231054124e-11,0.843583345413208,3.0701743231054124e-11,0.843583345413208,3.0701743231054124e-11,0.843583345413208,3.0701743231054124e-11,0.843583345413208
4,0.8433847427368164,3.071718226999032e-11,0.8433351516723633,3.071718226999032e-11,0.8433351516723633,3.071718226999032e-11,0.8433351516723633,3.071718226999032e-11,0.8433351516723633,0.8428390026092529,3.074809157288527e-11,0.8428390026092529,3.074809157288527e-11,0.8428390026092529,3.074809157288527e-11,0.8428390026092529,3.074809157288527e-11,0.8428390026092529
5,0.8426408767700195,3.0763582653525745e-11,0.8425912857055664,3.0763582653525745e-11,0.8425912857055664,3.0763582653525745e-11,0.8425912857055664,3.0763582653525745e-11,0.8425912857055664,0.8420960903167725,3.07945786925945e-11,0.8420960903167725,3.07945786925945e-11,0.8420960903167725,3.07945786925945e-11,0.8420960903167725,3.07945786925945e-11,0.8420960903167725
6,0.8418983221054077,3.081010446770449e-11,0.8418488502502441,3.081010446770449e-11,0.8418488502502441,3.081010446770449e-11,0.8418488502502441,3.081010446770449e-11,0.8418488502502441,0.8413546085357666,3.084117683460619e-11,0.8413546085357666,3.084117683460619e-11,0.8413546085357666,3.084117683460619e-11,0.8413546085357666,3.084117683460619e-11,0.8413546085357666
7,0.8411571383476257,3.0856744243079604e-11,0.8411078453063965,3.0856744243079604e-11,0.8411078453063965,3.0856744243079604e-11,0.8411078453063965,3.0856744243079604e-11,0.8411078453063965,0.8406147956848145,3.0887896407261195e-11,0.8406147956848145,3.0887896407261195e-11,0.8406147956848145,3.0887896407261195e-11,0.8406147956848145,3.0887896407261195e-11,0.8406147956848145
8,0.8404176831245422,3.090349851020413e-11,0.8403684496879578,3.090349851020413e-11,0.8403684496879578,3.090349851020413e-11,0.8403684496879578,3.090349851020413e-11,0.8403684496879578,0.8398761749267578,3.093473047166562e-11,0.8398761749267578,3.093473047166562e-11,0.8398761749267578,3.093473047166562e-11,0.8398761749267578,3.093473047166562e-11,0.8398761749267578
9,0.8396795392036438,3.0950370738525024e-11,0.8396304249763489,3.0950370738525024e-11,0.8396304249763489,3.0950370738525024e-11,0.8396304249763489,3.0950370738525024e-11,0.8396304249763489,0.8391392230987549,3.098167902781945e-11,0.8391392230987549,3.098167902781945e-11,0.8391392230987549,3.098167902781945e-11,0.8391392230987549,3.098167902781945e-11,0.8391392230987549
10,0.8389430046081543,3.099735745859533e-11,0.8388939499855042,3.099735745859533e-11,0.8388939499855042,3.099735745859533e-11,0.8388939499855042,3.099735745859533e-11,0.8388939499855042,0.8384039402008057,3.10287351368288e-11,0.8384039402008057,3.10287351368288e-11,0.8384039402008057,3.10287351368288e-11,0.8384039402008057,3.10287351368288e-11,0.8384039402008057
